mode,support_modes,method,frames,wp_coll,wp_total,WPC,warn_rate,avg_mod,avg_geom,avg_p_coll,reports,accept_rate,correct_rate,time_correct_rate,downweight_rate,quarantine_rate,object_quarantine_rate,probation_restore_rate,avg_dx,avg_dy,avg_delay_s,avg_obj_removed,fake_seen,fake_removed,fake_removal_rate,real_removed,clean_false_remove_per_frame,avg_real_peer_support,avg_fake_peer_support,avg_real_trust_support,avg_fake_trust_support,avg_real_cluster_cov,avg_fake_cluster_cov,avg_real_offset_spread,avg_fake_offset_spread,avg_missing_candidates,avg_missing_recovered,avg_missing_gt,missing_recovery_tp,missing_recovery_fp,missing_recovery_precision,missing_recovery_recall,missing_recovery_rate,avg_smoothed_agents,avg_smooth_residual,actual_scenarios,available_val_scenarios,requested_max_scenarios,max_frames_per_scenario,frame_window,enable_missing_recovery,enable_box_margin_guard,enable_peer_consensus_smoothing,disable_v1
clean,clean+shift,EgoOnly,400,74,4000,0.0185,0.5375,0.11725000000000019,1.1725,0.25204863503575325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
clean,clean+shift,CleanCoop,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
clean,clean+shift,PrimaryRaw,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
clean,clean+shift,PrimaryTrustCalib,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
clean,clean+shift,MultiPeerObjectGuard,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.993342776203966,0.0,1.993342776203966,0.0,3.597859736526185e-29,0.0,1.1105909862752141,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
drop,clean+shift,EgoOnly,400,74,4000,0.0185,0.5375,0.11725000000000019,1.1725,0.25204863503575325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
drop,clean+shift,CleanCoop,400,17,4000,0.00425,0.565,0.18299999999999997,1.83,0.2279845898784697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
drop,clean+shift,PrimaryRaw,400,52,4000,0.013,0.5325,0.1355000000000002,1.355,0.22867676435038448,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
drop,clean+shift,PrimaryTrustCalib,400,52,4000,0.013,0.5325,0.1355000000000002,1.355,0.22867676435038448,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,20,22,20,20,start,True,True,True,False
drop,clean+shift,MultiPeerObjectGuard,400,17,4000,0.00425,0.57,0.18299999999999997,1.83,0.23379952678456903,400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.9962157048249765,0.0,1.9962157048249765,0.0,3.5664834002535556e-29,0.0,1.113803018120756,0.0,11.9675,11.6625,12.065,4665,0,1.0,0.966639038541235,0.9745143095884687,0.0,0.0,20,22,20,20,start,True,True,True,False
